시도,시군구,성별,총합계,D1(문화예술),D2(유학),D3(기술연수),D4(일반연수),D5(취재),D6(종교),D7(주재),D8(기업투자),D9(무역경영),D10(구직),E1(교수),E2(회화),E3(연구),E4(기술지도),E5(전문직업),E6(예술흥행),E7(특정활동),E8(계절근로),E9(비전문취업),E10(선원취업),F1(방문동거),F2(거주),F3(동반),F4(재외동포),F5(영주),F6(결혼이민),G1(기타),H1(관광취업),H2(방문취업),기타
총합계,총합계,총합계,"2,166,955 ",49 ,"228,864 ",878 ,"77,488 ",122 ,"1,797 ","1,097 ","8,435 ","2,614 ","26,101 ","1,787 ","12,566 ","3,321 ",208 ,212 ,"4,188 ","82,631 ","30,903 ","340,635 ","20,516 ","68,571 ","69,056 ","78,107 ","560,898 ","223,953 ","154,332 ","61,892 ","3,786 ","67,753 ","34,195 "
강원특별자치도,총계,총계,"33,519 ",,"7,739 ",21 ,"1,741 ",1 ,35 ,1 ,63 ,15 ,454 ,41 ,409 ,78 ,,,24 ,841 ,654 ,"6,525 ",982 ,"1,276 ",460 ,729 ,"4,141 ","1,747 ","3,587 ","1,464 ",23 ,345 ,123 
강원특별자치도,강릉시,총계,"4,798 ",,924 ,,618 ,,1 ,,6 ,4 ,121 ,3 ,38 ,16 ,,,5 ,82 ,34 ,616 ,164 ,216 ,54 ,105 ,562 ,215 ,440 ,503 ,,42 ,29 
강원특별자치도,강릉시,남성,"2,595 ",,451 ,,352 ,,1 ,,3 ,4 ,55 ,2 ,12 ,13 ,,,4 ,74 ,19 ,528 ,164 ,88 ,22 ,37 ,255 ,83 ,59 ,330 ,,22 ,17 
강원특별자치도,강릉시,여성,"2,203 ",,473 ,,266 ,,,,3 ,,66 ,1 ,26 ,3 ,,,1 ,8 ,15 ,88 ,,128 ,32 ,68 ,307 ,132 ,381 ,173 ,,20 ,12 
강원특별자치도,고성군,총계,"2,267 ",,"1,366 ",,50 ,,,,,4 ,39 ,17 ,10 ,,,,,32 ,10 ,242 ,207 ,27 ,26 ,14 ,88 ,21 ,62 ,39 ,,8 ,5 
강원특별자치도,고성군,남성,"1,639 ",,953 ,,33 ,,,,,4 ,33 ,7 ,2 ,,,,,32 ,4 ,239 ,207 ,11 ,13 ,2 ,38 ,7 ,13 ,36 ,,1 ,4 
강원특별자치도,고성군,여성,628 ,,413 ,,17 ,,,,,,6 ,10 ,8 ,,,,,,6 ,3 ,,16 ,13 ,12 ,50 ,14 ,49 ,3 ,,7 ,1 
강원특별자치도,동해시,총계,"1,175 ",,14 ,,4 ,,1 ,,7 ,,4 ,,31 ,,,,1 ,29 ,,355 ,85 ,73 ,17 ,19 ,185 ,67 ,201 ,70 ,,9 ,3 
강원특별자치도,동해시,남성,677 ,,8 ,,2 ,,,,6 ,,4 ,,8 ,,,,,28 ,,326 ,85 ,28 ,7 ,9 ,76 ,20 ,18 ,46 ,,4 ,2 
강원특별자치도,동해시,여성,498 ,,6 ,,2 ,,1 ,,1 ,,,,23 ,,,,1 ,1 ,,29 ,,45 ,10 ,10 ,109 ,47 ,183 ,24 ,,5 ,1 
강원특별자치도,삼척시,총계,"1,541 ",,583 ,,16 ,,,,,,8 ,1 ,17 ,1 ,,,1 ,26 ,34 ,182 ,165 ,56 ,17 ,14 ,78 ,55 ,145 ,131 ,,4 ,7 
강원특별자치도,삼척시,남성,937 ,,291 ,,16 ,,,,,,7 ,1 ,3 ,,,,,26 ,17 ,177 ,165 ,22 ,7 ,4 ,34 ,13 ,13 ,131 ,,3 ,7 
강원특별자치도,삼척시,여성,604 ,,292 ,,,,,,,,1 ,,14 ,1 ,,,1 ,,17 ,5 ,,34 ,10 ,10 ,44 ,42 ,132 ,,,1 ,0 
강원특별자치도,속초시,총계,"2,258 ",,478 ,,45 ,,,,2 ,1 ,47 ,4 ,26 ,,,,,35 ,20 ,394 ,286 ,53 ,25 ,28 ,342 ,112 ,203 ,115 ,1 ,32 ,9 
