3. 지역별 외국인 순증감(신규 유입-유출) 현황,,,,,
(단위: 명),,,,,
월,’26년 2월,’26년 3월,’26년 4월,’26년 5월,’26년 6월
시도,,,,,
합계,-301,"30,249","24,427","16,149","17,176"
경기도,"1,084","4,501","4,091","2,788","3,635"
강원특별자치도,-27,932,"2,419","2,346","3,568"
경상북도,-17,"1,524","3,003","3,321","2,632"
충청남도,-129,"2,360","2,446","1,957","2,472"
전북특별자치도,-1,"1,661","2,119","1,812","2,416"
충청북도,94,"1,064","2,025","2,251","1,456"
전라남도,337,"1,172","1,443","1,275","1,180"
대구광역시,-86,"1,010",258,56,293
부산광역시,-330,"2,354","1,564",-16,281
인천광역시,248,"1,099",356,347,253
광주광역시,-5,709,265,-11,115
울산광역시,112,474,110,138,85
제주특별자치도특별자치도,148,210,240,-86,53
세종특별자치시,131,149,-8,-5,-15
대전광역시,-116,"1,686",-72,-81,-41
서울특별시,"-2,356","7,739","3,267",-19,-561
경상남도,612,"1,605",901,76,-646
