4. 체류자격별 외국인 신규 유입 현황(’26년 6월),,,,,,,
,,,,,,,
(단위: 명),,,,,,,
 ,,,,,,,
시도,합계,재외동포,비전문취업,유학,영주,결혼이민,그 외
,,(F-4),(E-9),(D-2),(F-5),(F-6),체류자격
합계,"41,487","4,814","3,555",298,77,"1,088","31,655"
경기도,"8,487","2,142","1,453",78,35,328,"4,451"
서울특별시,"4,816","1,331",39,166,14,188,"3,078"
경상북도,"4,034",77,223,2,3,53,"3,676"
강원특별자치도,"3,954",35,65,3,1,23,"3,827"
충청남도,"3,948",247,274,4,5,51,"3,367"
전북특별자치도,"3,745",43,124,14,3,31,"3,530"
전라남도,"3,367",39,256,1, - ,46,"3,025"
경상남도,"2,200",117,284,1,1,72,"1,725"
충청북도,"2,030",126,233,4,4,27,"1,636"
인천광역시,"1,258",355,156,13,5,78,651
부산광역시,"1,055",94,111,2,1,47,800
대구광역시,672,59,64,1,1,48,499
제주특별자치도특별자치도,668,26,143, - ,1,15,483
대전광역시,423,37,15,6, - ,27,338
광주광역시,407,40,57,1,1,23,285
울산광역시,348,36,43,2,2,28,237
세종특별자치시,75,10,15, - , - ,3,47
