5. 체류자격별 외국인 유출 현황(’26년 6월),,,,,,,
 ,,,,,,,
(단위: 명),,,,,,,
시도,합계,재외동포,비전문취업,유학,영주,결혼이민,그 외
,,(F-4),(E-9),(D-2),(F-5),(F-6),체류자격
합계,"24,311","2,561","1,401","4,921",764,878,"13,786"
서울특별시,"5,377",684,22,"2,067",185,128,"2,291"
경기도,"4,852","1,091",492,380,338,211,"2,340"
경상남도,"2,846",74,145,65,15,52,"2,495"
전라남도,"2,187",25,139,42,10,32,"1,939"
충청남도,"1,476",164,134,99,22,44,"1,013"
경상북도,"1,402",41,109,199,13,61,979
전북특별자치도,"1,329",32,48,760,6,82,401
인천광역시,"1,005",151,63,220,85,58,428
부산광역시,774,60,36,281,25,44,328
제주특별자치도특별자치도,615,23,19,8,14,10,541
충청북도,574,71,82,116,16,18,271
대전광역시,464,19,8,288,5,20,124
강원특별자치도,386,26,26,140,6,28,160
대구광역시,379,33,27,83,5,35,196
광주광역시,292,31,14,107,3,17,120
울산광역시,263,26,34,30,15,34,124
세종특별자치시,90,10,3,36,1,4,36
